Census_ID	Species_ID	Species	Cave_Name	Cave_ID	Reference_Short	Reference_ID
18068	151	Chaetophiloscia cellaria (Dollfus, 1884)	Spilaio Chavara	6	Vandel 1955|Schmalfuss 1975|Beron 2016	143|267|706
18070	151	Chaetophiloscia cellaria (Dollfus, 1884)	Spilaio Leondariou	42	Vandel 1955|Schmalfuss 1975|Schmalfuss 1990	143|267|458
18072	151	Chaetophiloscia cellaria (Dollfus, 1884)	Spilaio Fytidi	39	Schmalfuss 1990|Beron 2016	458|706
18073	151	Chaetophiloscia cellaria (Dollfus, 1884)	Spilaio Voudli	88	Vandel 1946|Schmalfuss 1979|Beron 2016	112|317|706
18074	151	Chaetophiloscia cellaria (Dollfus, 1884)	Cave south of Pigadia	159	Beron 2016|Schmalfuss 1990	706|458
18075	151	Chaetophiloscia cellaria (Dollfus, 1884)	Spilaio Ellinokamara	157	Schmalfuss 1990|Beron 2016	458|706
18077	151	Chaetophiloscia cellaria (Dollfus, 1884)	Spilaio Afantou	100	Beron 2016|Ghigi 1929|Arcangeli 1929|Arcangeli 1935|Strouhal 1937|Schmalfuss 1990	706|47|56|81|93|458
18078	151	Chaetophiloscia cellaria (Dollfus, 1884)	Spilaio Tzetze Trypa	160	Schmalfuss 1990|Beron 2016	458|706
18079	151	Chaetophiloscia cellaria (Dollfus, 1884)	Spilaio Panagias Spilianis	158	Beron 2016|Schmalfuss 1990	706|458
21397	151	Chaetophiloscia cellaria (Dollfus, 1884)	Spilaio Stylokamara	87	Beron 2016|Schmalfuss 1990	706|458
28805	151	Chaetophiloscia cellaria (Dollfus, 1884)	Spilaio Kerateas	7	Vandel 1955|Vandel 1959|Schmalfuss 1979|Beron 2016	143|168|317|706
31493	151	Chaetophiloscia cellaria (Dollfus, 1884)	Spilaio Kakavoulas	73	Beron 2016|Vandel 1959	706|168
5986	152	Chaetophiloscia leucadia Strouhal, 1936	Spilaio Megali Spilia	161	Schawaller 1990	451
5998	152	Chaetophiloscia leucadia Strouhal, 1936	Spilaio Briba	162	Schawaller 1990	451
1167	153	Chaetophiloscia sp.	Spilaio Drakotrypa	9	Schmalfuss 1975	267
9830	153	Chaetophiloscia sp.	Spilaio Nymfon-Ancient Marble Quarry	19	Beron 2016	706
4847	154	Charimachilis relicta Janetschek, 1954	Spilaio Kamilari IΙ	109	Janetschek 1957|Beron 2016	159|706
6000	155	Charinus ioanniticus (Kritscher, 1959)	Subterranean passages of the ancient city of Rhodes	163	Blick & Seiter 2016	705
4570	156	Chloronomus sp.	Spilaio Afantou	100	Ghigi 1929|Bezzi 1929|Beron 2016	47|57|706
15366	157	Choleva agilis (Illiger, 1798)	Spilaia Rentinas	164	Beron 2016|Coiffait 1955	706|134
27161	158	Choleva oblonga Latreille, 1807	Spilaio Sfentoni Trypa	26	Beron 2016	706
20870	159	Choleva reitteri Petri, 1915	Spilaia Rentinas	164	Coiffait 1955	134
4350	160	Choleva sp.	Spilaio Kontylos	92	Alexiou et al. 2014	681
