Census_ID	Species_ID	Species	Cave_Name	Cave_ID	Reference_Short	Reference_ID
47732	725	Rhinolophus ferrumequinum (Schreber, 1774)	Spilaio Drakou	106	Iliopoulou-Georgudaki 1977|Iliopoulou-Georgudaki 1983b|Hanak et al. 2001	290|372|537
48685	725	Rhinolophus ferrumequinum (Schreber, 1774)	Spilaio Mikropolis	318	Hanak et al. 2001	537
48763	725	Rhinolophus ferrumequinum (Schreber, 1774)	Spilaio Stravomyti	337	Benda et al. 2008	616
48818	725	Rhinolophus ferrumequinum (Schreber, 1774)	Cave Monastery at Meteora	376	Hanak et al. 2001	537
49091	725	Rhinolophus ferrumequinum (Schreber, 1774)	Spilaio Melidoniou	58	Skiba 2007|Benda et al. 2008	605|616
49233	725	Rhinolophus ferrumequinum (Schreber, 1774)	Spilaio Zachariadi	374	Hanak et al. 2001|Beron 2016|Papadatou et al. 2012|Papadatou et al. 2011	537|706|1238|646
49550	725	Rhinolophus ferrumequinum (Schreber, 1774)	Spilaio Tserna	464	Papadatou et al. 2011|Papadatou et al. 2012	646|1238
49581	725	Rhinolophus ferrumequinum (Schreber, 1774)	Spilaio Kokkali	462	Papadatou et al. 2011|Papadatou et al. 2012	646|1238
49625	725	Rhinolophus ferrumequinum (Schreber, 1774)	Spilaio Mikrolimnis	466	Papadatou et al. 2011|Papadatou et al. 2012	646|1238
49898	725	Rhinolophus ferrumequinum (Schreber, 1774)	Katratzides mine galleries	467	Papadatou 2010	634
49981	725	Rhinolophus ferrumequinum (Schreber, 1774)	Agia Varvara mine galleries	468	Papadatou 2010	634
50035	725	Rhinolophus ferrumequinum (Schreber, 1774)	Tsoutouros mine galleries	326	Papadatou 2010	634
50112	725	Rhinolophus ferrumequinum (Schreber, 1774)	Spilaio Megali Vouva Lefkimmis	325	Papadatou 2010|Ivanova & Gueorguieva 2004|Beron 2016	634|560|706
50175	725	Rhinolophus ferrumequinum (Schreber, 1774)	Spilaio Kamila	253	Beron 2016|Ivanova 2000	706|530
50543	725	Rhinolophus ferrumequinum (Schreber, 1774)	Spilaio Maroneias	80	Bilgin 2012|Hanak et al. 2001|Paragamian et al. 2004|Beron 2016	655|537|1178|706
50775	725	Rhinolophus ferrumequinum (Schreber, 1774)	Spilaio Gkoloupintsas	153	Iliopoulou-Georgudaki 1977|Iliopoulou-Georgudaki 1983b|Hanak et al. 2001	290|372|537
19108	726	Rhinolophus hipposideros (Bechstein, 1800)	Spilaio Drakotrypa	38	Beron 2016	706
19110	726	Rhinolophus hipposideros (Bechstein, 1800)	Spilaio Agias Marinas	388	Iliopoulou-Georgudaki 1977|Iliopoulou-Georgudaki 1983b|Hanak et al. 2001|Beron 2016	290|372|537|706
19113	726	Rhinolophus hipposideros (Bechstein, 1800)	Spilaio Fytidi	39	Hanak et al. 2001|Beron 2016	537|706
19115	726	Rhinolophus hipposideros (Bechstein, 1800)	Spilaio Skalas Trypa	372	Benda et al. 2008	616
19116	726	Rhinolophus hipposideros (Bechstein, 1800)	Spilaio Venidon	323	Benda et al. 2008	616
19118	726	Rhinolophus hipposideros (Bechstein, 1800)	Cave at Kastelos	385	Benda et al. 2008	616
19121	726	Rhinolophus hipposideros (Bechstein, 1800)	Cave in hills south of Chania	387	Bate 1905|Benda et al. 2008	24|616
19124	726	Rhinolophus hipposideros (Bechstein, 1800)	Spilaio Koulieri	341	Benda et al. 2008	616
19126	726	Rhinolophus hipposideros (Bechstein, 1800)	Cave at Theriso	386	Benda et al. 2008	616
19127	726	Rhinolophus hipposideros (Bechstein, 1800)	Spilaio Sarakinas	286	Benda et al. 2008	616
19129	726	Rhinolophus hipposideros (Bechstein, 1800)	Spilaio Neraidospilia	370	Benda et al. 2008	616
19131	726	Rhinolophus hipposideros (Bechstein, 1800)	Spilaio Tzani Spilios	136	Martens 1967|Hanak et al. 2001|Benda et al. 2008|Beron 2016	206|537|616|706
19132	726	Rhinolophus hipposideros (Bechstein, 1800)	Mine gallery	379	Benda et al. 2008	616
19134	726	Rhinolophus hipposideros (Bechstein, 1800)	Spilaio Agias Foteinis	281	Benda et al. 2008	616
19136	726	Rhinolophus hipposideros (Bechstein, 1800)	Spilaio Mikro Lavyrinthaki	333	Benda et al. 2008	616
19138	726	Rhinolophus hipposideros (Bechstein, 1800)	Spilaio Nychteridospilios	320	Benda et al. 2008	616
19139	726	Rhinolophus hipposideros (Bechstein, 1800)	Varathro Tsakalou	339	Benda et al. 2008	616
19140	726	Rhinolophus hipposideros (Bechstein, 1800)	Spilaio Chainospilios	260	Benda et al. 2008	616
19141	726	Rhinolophus hipposideros (Bechstein, 1800)	Spilaio Doxa	191	Benda et al. 2008	616
19142	726	Rhinolophus hipposideros (Bechstein, 1800)	Spilaio Chonos Sarchou	90	Benda et al. 2008|Hanak et al. 2001|Pieper 1977	616|537|286
19144	726	Rhinolophus hipposideros (Bechstein, 1800)	Spilaio Gaidourotrypa	282	Benda et al. 2008	616
19146	726	Rhinolophus hipposideros (Bechstein, 1800)	Spilaio Agiou Antoniou	389	Benda et al. 2008	616
19147	726	Rhinolophus hipposideros (Bechstein, 1800)	Spilaio Krygiospilios	390	Benda et al. 2008	616
19149	726	Rhinolophus hipposideros (Bechstein, 1800)	Spilaio Oxo Latsidi	261	Benda et al. 2008	616
19150	726	Rhinolophus hipposideros (Bechstein, 1800)	Spilaio sta Agridia	392	Benda et al. 2008	616
19152	726	Rhinolophus hipposideros (Bechstein, 1800)	Spilaio Mougkri	366	Benda et al. 2008	616
19154	726	Rhinolophus hipposideros (Bechstein, 1800)	Spilaio Erfon	327	Benda et al. 2008	616
19156	726	Rhinolophus hipposideros (Bechstein, 1800)	Spilaio Prinou	301	Benda et al. 2008	616
