ID	Short	Title	Year	Section
844	Kasvikis 1953	The pothole "Peristerotrypa"	1953	Bull. Soc. Speleol. Grèce 2:101–103.
845	Kirdis & Argyriadis 1994	The pothole "Trypa tou Kolak" of mountain Saitas, Arkadia	1994	Bull. Soc. Speleol. Grèce 21:427–428.
846	Kirdis & Papadopoulos 1994	The vertical cave “Prokopi”  of Mistros, Evvoia	1994	Bull. Soc. Speleol. Grèce 21:405–410.
847	Kirdis & Papadopoulos 2000	Speleological researches in Samos	2000	Bull. Soc. Speleol. Grèce 21:147–162.
848	Kirdis 1989a	The cave “Nerospilia” of Kokkotoi, Magnisia (CRNr 7517)	1989	Bull. Soc. Speleol. Grèce 19:134–135.
849	Kirdis 1989b	The vertical cave “Pagospilia” or “Apati” of Kato Seta, Evvoia (CRNr 7519)	1989	Bull. Soc. Speleol. Grèce 19:153.
850	Kirdis 1989c	The vertical cave “Platia Rachi” of Seta, Evvoias (CRNr 7521)	1989	Bull. Soc. Speleol. Grèce 19:153.
851	Kirdis 1989d	The pothole "Trypa tou Kolak" of mountain Saitas, Arkadia	1989	Bull. Soc. Speleol. Grèce 19:150–152.
852	Kirdis 2000a	Caves at Chortiati, Thessaloniki	2000	Bull. Soc. Speleol. Grèce 21:172–174.
853	Kirdis 2000b	The vertical cave Bistirgiona of Ioannina	2000	Bull. Soc. Speleol. Grèce 21:175–176.
854	Kirdis 2000c	Speleological researches in Vrina, Ileia	2000	Bull. Soc. Speleol. Grèce 21:163–166.
855	Kirdis 2000d	Speleological researches in Gkiona	2000	Bull. Soc. Speleol. Grèce 21:167–171.
856	Kirdis 2000e	The pothole “trypa tis Lygeris” of Vradeto, Ipeiros: first evaluation	2000	Bull. Soc. Speleol. Grèce 21:177–178.
857	Kitselis 1979	The cave “Drakotrypa” of Drosopigi, Arta	1979	Bull. Soc. Speleol. Grèce 16:77–80.
858	Kitselis 1989	The cave “Karkano” of Koukounara, area of Pylia	1989	Bull. Soc. Speleol. Grèce 19:113–115.
859	Kompiliris n.d.	Sinkholes of central Peloponnisos		Korfes 50–51.
860	Kontou 1994	Speleological researches in the area of the lake of Kastraki	1994	Bull. Soc. Speleol. Grèce 21:411–412.
861	Kountouris 1952	Caves of Kalymnos	1952	Bull. Soc. Speleol. Grèce 1:294–297.
862	Kouraklis & Bosinis 2000	The caves of Stavropigi, Municipality of Avia, Messiniaki Mani	2000	Bull. Soc. Speleol. Grèce 21:200–202.
863	Kyriakopoulou & Avtzis 1989	The cave “Pefkou” of Metochi Dirfy, Evvoia	1989	Bull. Soc. Speleol. Grèce 19:147–149.
864	Kyriakopoulou 1989a	The cave “Vlochou” of Agrinio (CRNr	1989	Bull. Soc. Speleol. Grèce 19:82.
865	Kyriakopoulou 1989b	The cave “Gourounospilia” of Metochi Dirfy, Evvoia	1989	Bull. Soc. Speleol. Grèce 19:108–110.
866	Kyriakopoulou 1989c	Speleological researches in the area of Metochi Dirfy, Evvoia	1989	Bull. Soc. Speleol. Grèce 19:142–146.
867	Lazaridis 2006	Caves of Smari (Region of Irakleio, Kriti) and speleogenesis in vertical discontinuities in the "vadose" zone	2006	In Paragamian, K. and D. Choreftaki. Proceedings of the 2nd Pancretan Speleological Symposium dedicated to the memory of Eleftherios Platakis Irakleio Crete Hellenic Speleological Society, Department of Crete. 67-75.
868	Leloudas & Stathis 2000	The pothole - sinkhole Stoicheiomeni of Elikonas, Voiotia	2000	Bull. Soc. Speleol. Grèce 22:137–140.
869	Leloudas 2000	The pothole Trypa Feneou, Korinthia (-190), CRNr 6640	2000	Bull. Soc. Speleol. Grèce 21:143–146.
