ID	Short	Title	Year	Section
988	Petrocheilou 1961d	The cave “Aera” (CRNr 1084)	1961	Bull. Soc. Speleol. Grèce 6:14–21.
989	Petrocheilou 1962a	The cave “Kokkinon Petron” of Petralona, Chalkidiki (CRNr 1044)	1962	Bull. Soc. Speleol. Grèce 6:1–7.
990	Petrocheilou 1962b	The cave Anemotrypa of Tempi (CRNr 1393)	1962	Bull. Soc. Speleol. Grèce 6:7–8.
991	Petrocheilou 1962c	The cave Boulasiki or "trypa Ag Georgiou", Kilkis (CRNr 250)	1962	Bull. Soc. Speleol. Grèce 6:14–15.
992	Petrocheilou 1962d	The cave of Zeus “Za ” or Vakchidon (CRNr 705)	1962	Bull. Soc. Speleol. Grèce 6:37–42.
993	Petrocheilou 1962e	The cave "Fidas"	1962	Bull. Soc. Speleol. Grèce 6:4–7.
994	Petrocheilou 1963a	Coastal caves of North-East Zakynthos: The blue cave (kyanoun) (CRNr 1402)	1963	Bull. Soc. Speleol. Grèce 7:34–41.
995	Petrocheilou 1963b	The cave Gouverneto of Chania, Kriti (CRNr 37)	1963	Bull. Soc. Speleol. Grèce 7:19–24.
996	Petrocheilou 1963c	The cave Diktaion Antron of Lasithi, Kriti (CRNr 43)	1963	Bull. Soc. Speleol. Grèce 7:110–117.
997	Petrocheilou 1963d	The cave “Foros” of Aladinou, Andros (CRNr 15)	1963	Bull. Soc. Speleol. Grèce 7:92–97.
998	Petrocheilou 1963e	The blue cave (kyanoun) or "trypa" of Parasta, Kastellorizo (CRNr	1963	Bull. Soc. Speleol. Grèce 7:99–105.
999	Petrocheilou 1963f	The cave "trypa tou Sentoni" of Rethymno, Kriti (CRNr 701)	1963	Bull. Soc. Speleol. Grèce 7:76–82.
1000	Petrocheilou 1964a	The cave Kokkinon Petron of Petralona, Chalkidiki (CRNr 1044)	1964	Bull. Soc. Speleol. Grèce 7:160–167.
1001	Petrocheilou 1964b	The cave Agia Eleni (CRNr 2503) of Zygos, Kavala	1964	Bull. Soc. Speleol. Grèce 7:189–197.
1002	Petrocheilou 1964c	The cave Alatsospilo of Dryalo, Lakonia (CRNr 542)	1964	Bull. Soc. Speleol. Grèce 7:211–216.
1003	Petrocheilou 1964d	The cave Irakleous (CRNr 576)	1964	Bull. Soc. Speleol. Grèce 7:221–225.
1004	Petrocheilou 1964e	The cave Profitou Ilia of Rizopoli (CRNr 1082)	1964	Bull. Soc. Speleol. Grèce 7:137–144.
1005	Petrocheilou 1965a	The cave "Agion Pateron" of Lithino Zitsis, Ioannina (CRNr 3165)	1965	Bull. Soc. Speleol. Grèce 8:38–45.
1006	Petrocheilou 1965b	The cave Agiou Isidorou of Plomari, Lesvos (CRNr 3164)	1965	Bull. Soc. Speleol. Grèce 8:12–16.
1007	Petrocheilou 1965c	The cave of Melidoni, Kriti or Gerontospilias (CRNr 41)	1965	Bull. Soc. Speleol. Grèce 8:61–71.
1008	Petrocheilou 1966a	Two caves of Arkadia	1966	Bull. Soc. Speleol. Grèce 8:215–221.
1009	Petrocheilou 1966b	Speleological researches in the areas of Apolpaini and Agios Ioannis, Lefkada	1966	Bull. Soc. Speleol. Grèce 8:182–195.
1010	Petrocheilou 1966c	The cave Sardeli (CRNr 3480)	1966	Bull. Soc. Speleol. Grèce 8:130–136.
1011	Petrocheilou 1967a	Speleological researches in the area of Agios Kirykos, Ikaria	1967	Bull. Soc. Speleol. Grèce 9:69–80.
1012	Petrocheilou 1967b	The cave Neotrypa Lykosoura, Arkadia (CRNr 3551)	1967	Bull. Soc. Speleol. Grèce 9:33–36.
1013	Petrocheilou 1967c	The cave Katafyki (CRNr 3120)	1967	Bull. Soc. Speleol. Grèce 9:22–32.
1014	Petrocheilou 1967d	The cave “Ton Limnon” (CRNr 3479)	1967	Bull. Soc. Speleol. Grèce 9:89–100.
1015	Petrocheilou 1969a	The cave Iraklaious (or Petaka) CRNr 576 (new section)	1969	Bull. Soc. Speleol. Grèce 10:52–57.
1016	Petrocheilou 1969b	The pothole Agia Eleousa Samis, Kefallinia (CRNr 76)	1969	Bull. Soc. Speleol. Grèce 10:21–25.
1017	Petrocheilou 1969c	The cave Nerotrypa Syrrizou, Trifylia (CRNr 1931)	1969	Bull. Soc. Speleol. Grèce 10:87–92.
1018	Petrocheilou 1969d	The cave Propanti of Andritsaini (ASM 3594)	1969	Bull. Soc. Speleol. Grèce 10:72–77.
1019	Petrocheilou 1969e	The cave Fytidi Samis, Kefallinia (CRNr 3500)	1969	Bull. Soc. Speleol. Grèce 10:26–30.
1020	Petrocheilou 1970a	The cave “Agias Sofias” of Mylopotamos, Kythira (CRNr 16)	1970	Bull. Soc. Speleol. Grèce 10:102–110.
1021	Petrocheilou 1970b	The cave “Afanos” of Lamia (CRNr 3530)	1970	Bull. Soc. Speleol. Grèce 10:30–32.
1022	Petrocheilou 1970c	The cave “Daimonos” or Kyklopos Meganisiou, Lefkada (CRNr 2103)	1970	Bull. Soc. Speleol. Grèce 10:12–0122.
1023	Petrocheilou 1970d	The cave “Kyklopos Polyfimou” of Maroneia, Komotini (CRNr 755)	1970	Bull. Soc. Speleol. Grèce 10:9–17.
1024	Petrocheilou 1970e	he cave Agias Sofias Topolion, Kissamos (CRNr 697)	1970	Bull. Soc. Speleol. Grèce 10:90–94.
1025	Petrocheilou 1970f	The cave Milatou Meramvelou (CRNr 55)	1970	Bull. Soc. Speleol. Grèce 10:34–39.
1026	Petrocheilou 1970g	The cave “Daimonon” or Kalampaka, Paros (CRNr 1398)	1970	Bull. Soc. Speleol. Grèce 10:23–26.
1027	Petrocheilou 1970h	The cave Fantaxospiliara Latsima, Rethymno	1970	Bull. Soc. Speleol. Grèce 10:78–83.
1028	Petrocheilou 1970i	The cave “Peristeras” of Karydi, Siteia, Kriti (CRNr 260)	1970	Bull. Soc. Speleol. Grèce 10:50–54.
1029	Petrocheilou 1971a	The cave “Agiogalousaina” of Chios (CRNr 1983)	1971	Bull. Soc. Speleol. Grèce 11:10–16.
1030	Petrocheilou 1971b	The cave “Agiou Ioannou” of Irakleia Naxos (CRNr 851)	1971	Bull. Soc. Speleol. Grèce 11:71–75.
1031	Petrocheilou 1971c	The cave “Louizou”, Ithaki (CRNr 812A)	1971	Bull. Soc. Speleol. Grèce 11:36.
1032	Petrocheilou 1971d	The cave “Papanikolis” of Meganisi, Lefkada (CRNr 2108)	1971	Bull. Soc. Speleol. Grèce 11:37–39.
1033	Petrocheilou 1971e	The cave Agiou Vartholomaiou Taxiarchon, Mytilini (CRNr 528)	1971	Bull. Soc. Speleol. Grèce 11:80–82.
1034	Petrocheilou 1971f	The cave "Kyklopos Polyfimou" of Makri, Alexandroupoli	1971	Bull. Soc. Speleol. Grèce 11:52–56.
1035	Petrocheilou 1971g	The cave Skoukla of Kardamyla, Chios (CRNr 3261)	1971	Bull. Soc. Speleol. Grèce 11:64–68.
1036	Petrocheilou 1971h	The cave “Marmarospilia or ”Antron Nymfon " of Ithaki	1971	Bull. Soc. Speleol. Grèce 11:32–35.
1037	Petrocheilou 1972a	The cave “Agiou Nektariou” of Sopoto, Evrostini (CRNr 3691)	1972	Bull. Soc. Speleol. Grèce 11:181–185.
1038	Petrocheilou 1972b	The cave “Dryadon” of Livera, Xanthi (CRNr 3672)	1972	Bull. Soc. Speleol. Grèce 11:98–103.
1039	Petrocheilou 1972c	The cave “Ermou” or “Panos” or “Apollonos” or “Troupa” of Kyllini (Zireia), CRNr 311	1972	Bull. Soc. Speleol. Grèce 11:116–123.
1040	Petrocheilou 1972d	The cave “Kranias” of Lagkadia, Tripoli (CRNr 3697)	1972	Bull. Soc. Speleol. Grèce 11:128–134.
1041	Petrocheilou 1972e	The cave “o Kryfos Spilios” of Stomio, Larisa (CRNr 3639)	1972	Bull. Soc. Speleol. Grèce 11:177–180.
1042	Petrocheilou 1972f	The cave Karathonos, Nafplio (CRNr 3720)	1972	Bull. Soc. Speleol. Grèce 11:166–170.
1043	Petrocheilou 1972g	The cave Monis Taxiarchon, Xanthi (CRNr 3674)	1972	Bull. Soc. Speleol. Grèce 11:108–111.
1044	Petrocheilou 1972h	The cave "Alavastrino" of Lefkada (CRNr 3641)	1972	Bull. Soc. Speleol. Grèce 11:135–141.
1045	Petrocheilou 1972i	The cave “Kokkines Petres” of Petralona, Chalkidiki	1972	Bull. Soc. Speleol. Grèce 11:160–164.
1046	Petrocheilou 1973a	The vertical cave Alykopetras Drakeias, Volos (CRNr 4298)	1973	Bull. Soc. Speleol. Grèce 12:105–112.
1047	Petrocheilou 1973b	Speleological researches at Milos	1973	Bull. Soc. Speleol. Grèce 12:9–31.
1048	Petrocheilou 1973c	The cave “Limnospilia” of the isle of Ioannina (CRNr 586)	1973	Bull. Soc. Speleol. Grèce 12:84–89.
1049	Petrocheilou 1973d	The cave "Agiou Georgiou" or “Boulasiki”, Kilkis (CRNr 250)	1973	Bull. Soc. Speleol. Grèce 12:36–41.
1050	Petrocheilou 1974a	The pothole “Koufospilo” of Krokees (CRNr 3421)	1974	Bull. Soc. Speleol. Grèce 12:205–207.
1051	Petrocheilou 1974b	Vertical cave "Trypa Giorgainas" of Krokees, Lakonia (CRNr 3424)	1974	Bull. Soc. Speleol. Grèce 12:196–204.
1052	Petrocheilou 1974c	The sinkhole “Nestani” of Tripoli (CRNr 3482)	1974	Bull. Soc. Speleol. Grèce 12:175–179.
1053	Petrocheilou 1974d	The cave “Limnon” of Kastria, Kalavryta (CRNr 3479)	1974	Bull. Soc. Speleol. Grèce 12:217–222.
1054	Petrocheilou 1974e	Speleological researches at Sifnos island	1974	Bull. Soc. Speleol. Grèce 12:229–255.
1055	Petrocheilou 1974f	The cave “Antron Cheironos” of Milies, Volos	1974	Bull. Soc. Speleol. Grèce 12:134–141.
1056	Petrocheilou 1974g	The cave “Peristeri” of Magalochori, Methana	1974	Bull. Soc. Speleol. Grèce 12:142–151.
1057	Petrocheilou 1974h	The underground river “Glyfada” of Dyros	1974	Bull. Soc. Speleol. Grèce 12:211–216.
1058	Petrocheilou 1975a	Speleological researches in the area of Veneto Keramidiou, Volos, Magnisia	1975	Bull. Soc. Speleol. Grèce 13:71–99.
1059	Petrocheilou 1975b	The cave “Katakomvon” of Ioannina (CRNr 6375)	1975	Bull. Soc. Speleol. Grèce 13:106–113.
1060	Petrocheilou 1975c	The cave - underground river "Glyfada" of Dyros: new section (CRNr 25)	1975	Bull. Soc. Speleol. Grèce 13:129–131.
1061	Petrocheilou 1976a	Peloponnisos: Reasearches taken place in the area of Leonidio, Arkadia	1976	Bull. Soc. Speleol. Grèce 13:168–187.
1062	Petrocheilou 1976b	Researches taken place at Pindos	1976	Bull. Soc. Speleol. Grèce 13:236–237.
1063	Petrocheilou 1977	The cave “Anemotrypa” of Pramanta, Ioannina	1977	Bull. Soc. Speleol. Grèce 14:82–92.
1064	Petrocheilou 1978	The cave "Zografou", Graikiko, Arta	1978	Bull. Soc. Speleol. Grèce 15:6–15.
1065	Petrocheilou 1979a	The cave “Panagia tou Vrachou” of Chrousa Megalopoli, Arkadia	1979	Bull. Soc. Speleol. Grèce 16:43–49.
1066	Petrocheilou 1979b	The cave “Kammenos Spilios” of Chalki, Dodekanisa	1979	Bull. Soc. Speleol. Grèce 16:34–42.
1067	Petrocheilou 1979c	The cave “Koumellou” of Archangelos, Rodos	1979	Bull. Soc. Speleol. Grèce 16:9–16.
1068	Petrocheilou 1980a	The vertical cave of Antiparos or Oliarou, Kyklades	1980	Bull. Soc. Speleol. Grèce 17:85–94.
1069	Petrocheilou 1980b	The cave of Geraniou at Rethymno, Kriti	1980	Bull. Soc. Speleol. Grèce 17:51–58.
1070	Petrocheilou 1980c	The vertical cave “Artemisio” ’or “trypa” of Kaparelli, Argolida	1980	Bull. Soc. Speleol. Grèce 17:177–181.
1071	Petrocheilou 1982a	The deepest and longest caves of the world	1982	Bull. Soc. Speleol. Grèce 18:375–389.
1072	Petrocheilou 1982b	The cave “Zouridas” of Rethymno, Kriti	1982	Bull. Soc. Speleol. Grèce 18:418–426.
1073	Petrocheilou 1984	The Greek Caves	1984	Ekdotiki Athinon 160pp.
1074	Petrocheilou 1989a	The vertical cave “Stymfalias” of Drosopigi, Korinthia	1989	Bull. Soc. Speleol. Grèce 19:116–119.
1075	Petrocheilou 1989b	The cave “Lavyrinthos” of Gortyna Irakleiou, Kriti (CRNr 45)	1989	Bull. Soc. Speleol. Grèce 19:160–165.
1076	Petrocheilou 1989c	The cave “Bourmpoula” of Touraki, Messinia	1989	Bull. Soc. Speleol. Grèce 19:120–123.
1077	Petrocheilou 1989d	The cave “Skalion”, Kalymnos (CRNr 2019)	1989	Bull. Soc. Speleol. Grèce 19:43–48.
1078	Petrocheilou 1992a	The cave “Spilia Vlastou” of Agioi Apostoloi, Kalamos, Attiki: (CRNr 247)	1992	Bull. Soc. Speleol. Grèce 20:101–103.
1079	Petrocheilou 1992b	The pothole “Drakopigado” of Mavrovouni, Kanalia, Magnisia (CRNr 6551)	1992	Bull. Soc. Speleol. Grèce 20:110–112.
1080	Petrocheilou 1992c	The pothole “Charovrasia” of Kanalia, Magnisia (CRNr 6552)	1992	Bull. Soc. Speleol. Grèce 20:114–115.
1081	Petrocheilou 1992d	The cave “Athanasiou Diakou” of Ano Mousounitsa, Parnassida, Fokida: (CRNr 7532)	1992	Bull. Soc. Speleol. Grèce 20:98–100.
1082	Petrocheilou 1992e	The cave “Glyfada” of Dyros Lakonia: new sections (CRNr 25)	1992	Bull. Soc. Speleol. Grèce 20:104–109.
1083	Petrocheilou et al. 1976	Expeditions at Kriti island	1976	Bull. Soc. Speleol. Grèce 13:222–236.
1084	Petrocheilou et al. 1977	Speleological researches at the lake Megali Prespa, Florina	1977	Bull. Soc. Speleol. Grèce 14:100–140.
1085	Petrocheilou et al. 1989a	The cave “Glyfada” of Dyros, Lakonia: exploration of new sections (CRNr 0025)	1989	Bull. Soc. Speleol. Grèce 19:49–62.
1086	Petrocheilou et al. 1989b	Speleological researches at Skopelos island	1989	Bull. Soc. Speleol. Grèce 19:94–99.
1087	Petrocheilou et al. 1989c	The vertical cave “Lykourgou” or "Agiou Nikolaou" of Doloi, Messinia (CRNr 6574)	1989	Bull. Soc. Speleol. Grèce 19:124–130.
1088	Platakis & Tsifetakis 1967	The cave “Oxo Latsidi” of Sitanos, Siteia	1967	Bull. Soc. Speleol. Grèce 9:109–113.
1089	Platakis 1952	The cave "Peristera" (CRNr260)	1952	Bull. Soc. Speleol. Grèce 1:272–273.
1090	Platakis 1953	The cave "Agiou Konstantinou"	1953	Bull. Soc. Speleol. Grèce 2:100.
1091	Platakis 1954	Concerning speleology of Kriti	1954	Bull. Soc. Speleol. Grèce 2:201–224.
1092	Platakis 1961a	Caves at Palaiochora, Kriti	1961	Bull. Soc. Speleol. Grèce 6:27–28.
1093	Platakis 1961b	Caves near Rethymno	1961	Bull. Soc. Speleol. Grèce 6:14–26.
1094	Platakis 1961c	The cave “Kourna” (CRNr 1094)	1961	Bull. Soc. Speleol. Grèce 6:2–11.
1095	Platakis 1962a	Caves of Crete	1962	Bull. Soc. Speleol. Grèce 6:25–35.
1096	Platakis 1962b	Caves of Crete	1962	Bull. Soc. Speleol. Grèce 6:9–18.
1097	Platakis 1963a	Caves of Agia Galini	1963	Bull. Soc. Speleol. Grèce 7:83–87.
1098	Platakis 1963b	Caves of Apokoronas, Kriti	1963	Bull. Soc. Speleol. Grèce 7:47–55.
1099	Platakis 1964	Speleological researches at Siteia	1964	Bull. Soc. Speleol. Grèce
1100	Platakis 1967	The cave "Kamilari" (CRNr  506)	1967	Bull. Soc. Speleol. Grèce 9:12–21.
1101	Platakis 1973	The cave “Diktaion Antron"	1973	Amaltheia 274–280.
1102	Platakis 1975	The cave "Thergiospilios" at Kavousi, Siteia	1975	Kritologia 1:181–185.
1103	Platakis 1976	The caves of Lasithi	1976	Prefecture of Lasithi Agios Nikolaos.
1104	Platakis 1978	The caves "Megalo Katofygi" and "Mikro Katofygi", Siteia	1978	Amaltheia 195–200.
1105	Platakis 1979	The caves of Siteia	1979	Amaltheia 51–56.
1106	Platakis 1981	The caverns of Kriti	1981	Amaltheia 101–110.
1107	Raptis 1835	Thrakia of Kalyvia	1835	To Vouno Greek Mountaineering Club. 2:22–23.
1108	Rathgeber & Jantschke 2005	Cave Explorations on the Islands of Kárpathos and Kásos (South Aegean, Greece)	2005	Proceedings of the 14th International Congress of Speleology Athens-Kalamos 166-170.
1109	Rathgeber et al. 2005	Cave Explorations on the Islands of Kárpathos and Kásos (South Aegean , Greece)	2005	Proceedings of the 14th International Congress of Speleology Athens-Kalamos 22282.
1110	Rémy 1951	Description de grottes de Macédoine grecque	1951	Ann. Speleol. 6(2-3):107-118.
1111	Sakellarakis 1985	The cave “Ellinokamara” of Kasos island	1985	Archaiologia 34–36.
1112	Sampson 1985	Caves and their use at Evvoia and in Greece in general	1985	
1113	Santorinaios 1940	The pothole "Eftastomos" of Parnassos	1940	To Vouno Greek Mountaineering Club. 7:181–186.
1114	Santorinaios 1946	Speleological researches (1946) of the speleological research team of the HER, department of Athens	1946	To Vouno Greek Mountaineering Club. 100–125.
1115	Santorinaios 1949a	Speleological researches (1949) of the speleological research team of the HMA, department of Athens	1949	To Vouno Greek Mountaineering Club. 42–59.
1116	Santorinaios 1949b	Speleological researches of (1949) the speleological research team of the HMA, department of Athens	1949	To Vouno Greek Mountaineering Club. 33–41.
1117	Sarris 1934	The cave of Ymittos, near Liopesi	1934	To Vouno Greek Mountaineering Club. 1:20–24.
1118	Sarris 1936	Exploration at "Drakotrypa" of Erymanthos	1936	To Vouno Greek Mountaineering Club. 3:208–211.
1119	Sigalou-Chatzidaki 1994	The cave of Agia Sofia	1994	Bull. Soc. Speleol. Grèce 21:390–392.
1120	Skouras 1978	Underground and cavernous christian temples and hermitages at Evvoia	1978	Bull. Soc. Speleol. Grèce 15:33–70.
1121	Skouras 1980	Researches at the caves of Skyros	1980	Bull. Soc. Speleol. Grèce 17:9–33.
1122	Skouras 1989	The cave "Megali spilia" (Graspilea) at Ochtonia Karystias, Evvoia	1989	Bull. Soc. Speleol. Grèce 19:166–174.
1123	Skouras 2000	Caves of Evvoia and Skyros	2000	Bull. Soc. Speleol. Grèce 21:229–261.
1124	Sotiriadis 1965	The cave of Eratyra, Kozani	1965	To Vouno Greek Mountaineering Club. 3–4:120–122.
1125	Stefanidis 1934	Findings in the cave "Kokkinovouniou"	1934	To Vouno Greek Mountaineering Club. 1:45–47.
1126	Symeonidis et al. 1977	The cave of Alistrati, Serres	1977	Bull. Soc. Speleol. Grèce 14:64–81.
1127	Theodorou 1989a	The cave “Skordoulakia” of Asfendou, Sfakia, Kriti	1989	Bull. Soc. Speleol. Grèce 19:39–42.
1128	Theodorou 1989b	Speleological researches in the area of Kefallinia	1989	Bull. Soc. Speleol. Grèce 19:33–38.
1129	Treyor-Βattye & Bate 1913	The caves of Crete Pages 239–253 Camping in Kriti Whitherby & co	1913	
1130	Triantafyllou 1992	Caves in Greece and tourism development	1992	Bull. Soc. Speleol. Grèce 20:28–76.
1131	Trimmis & Filippatou (C.R.Nrd.)	Speleological project of Kythira 2009- 2011		Bull. Soc. Speleol. Grèce Hellenic Speleological Society.
1132	Trimmis et al. 2012	Cerigo Speleological Project	2012	Proceedings of the 13th National Congress of Speleology/ 7th Eurospeloforum. Muotathal Switzerland 20-24.
1133	Tsifetakis 1967	The cave “Kera Spiliotissa” at Vryses, Kydonia (CRNr 960, SKK 74)	1967	Bull. Soc. Speleol. Grèce 9:61–68.
1134	Tsimpanis 1976a	Speleological explorations in Kynouria	1976	Bull. Soc. Speleol. Grèce 13:193–206, 212.
1135	Tsimpanis 1976b	Coastal caves between Paliochano and Limanaki, Sykies, in the area of Timenio, Kynouria	1976	Bull. Soc. Speleol. Grèce 13:207–213.
1136	Tsimpanis 1989	The cave “Giachali” of Mataragka, Achaia	1989	Bull. Soc. Speleol. Grèce 19:105–107.
1137	Vasilopoulos 1958	Speleological researches in Kastoria	1958	To Vouno Greek Mountaineering Club. 4:103–109.
1138	Vasilopoulos 1959	Speleological researches in the region of Chania	1959	To Vouno Greek Mountaineering Club. 4:116–117.
1139	Vasilopoulou 1994	Name inscriptions of the 4th century at "Chrisophilia" cave in Folegandros	1994	Bull. Soc. Speleol. Grèce 21:363–369.
1140	Vaxevanopoulos 2007	Hypogenic karstic caves	2007	Proceedings of the 8th Pan-Hellenic Geographical Conference. Vol. I.  In Athens Greek Geographical Society. 17-26.
1141	Younger 1976	The Cave “To Kleisidi” near Myrtos in Southern Kriti	1976	Archaiologika Analecta 9:166–169.
1142	Zelilidis 1994	Geologic parameters that influence the stability and development of two caves in the islands of Kefallinia kai Zakynthos	1994	Bull. Soc. Speleol. Grèce 21:105–116.
1143	Zervoudakis 1959	Cave of Agia Triada (Karystia)	1959	Bull. Soc. Speleol. Grèce 5:76–89.
1144	Zervoudakis 1962	The cave “Koutouki” of Ymittos, Attiki (CRNr 88)	1962	Bull. Soc. Speleol. Grèce 6:14–23.
1145	Zervoudakis 1963	The cave of Sarchos (CRNr 477)	1963	Bull. Soc. Speleol. Grèce 7:56–60.
1146	Zervoudakis 1964a	The cave of Kastoria or Drakos cave (CRNr 531)	1964	Bull. Soc. Speleol. Grèce 7:146–152.
1147	Zervoudakis 1964b	The cave of Gkialpides (Kavo nt’ Oro, east Karystia), n 1133	1964	Bull. Soc. Speleol. Grèce 7:168–178.
1148	Zervoudakis 1965a	The cave of Megara (CRNr 2780)	1965	Bull. Soc. Speleol. Grèce 8:3–11.
1149	Zervoudakis 1965b	The cave Tsourgeli (CRNr 341)	1965	Bull. Soc. Speleol. Grèce 8:36–37.
1150	Faure 1955	Grottes explorees en 1954 en Crete qui ne figurent pas au, bulletin de la S.S.G	1955	Bull. Soc. Speleol. Grèce Hellenic Speleological Society. 3:87-101.
1151	Anonymous 1953	Speleological news	1953	To Vouno Greek Mountaineering Club. 1:9-10.
1152	Petrocheilos 1952e	Hydrogeological researches in Samos	1952	Bull. Soc. Speleol. Grèce Hellenic Speleological Society. 1:213-259.
1153	Anonymous 1935	Speleological news	1935	To Vouno Greek Mountaineering Club. 2:105-108.
1154	Petrocheilos 1951	A Wonderful cave at Ioannina	1951	Pan 204-205:127.
1155	Anonymous 1965	Speleological news	1965	To Vouno Greek Mountaineering Club. 1-2:73-74.
1156	Beron 1985	On the cave fauna of the Greek islands of Sandorin and Iraklia, with preliminary description of a new pseudoscorpion	1985	Grottes Bulgares 3:64-71.
1157	Di Russo & Rampini 2001	The Zoodochos cave in Santorini Island	2001	Mem. Biospeol. 58:201-202.
1158	Gasparo 2008	Le grotte e la fauna cavernicola di Karpathos e Kassos (Dodecaneso, Grecia)	2008	Progressione 54:87-89.
1159	Bonzano & Calandri 1984	Osservazioni biospeleologiche preliminari su alcune cavità della Grecia occidentale	1984	Grupo Speleologico Imperiese. Ricerche sul carsismo della Grecia occidentale. Soc. Speleol. Ital. 75-84.
1160	Gasparo 2003	Tre campagne biospeleologiche a Creta	2003	Progressione 48:59-62.
1161	Gasparo 2004b	Ricerche biospeleologiche nelle isole Ionie meridionali	2004	Progressione 51:82-84.
1162	Paragamian 1994	Extremities in touristic exploitation of caves: the case of “Psychron cave” (Psychron, Crete, Greece)	1994	Bull. Soc. Speleol. Grèce 21:232-242.
1163	Strinati 1959	Mission Coiffait-Strinati en Macedoine, Grece et Turque (avril-Mai 1955). Chiroptera	1959	Mammalia 23:72-76.
1164	Strouhal 1961	Eine neue Höckerassel von Korfu (Isopoda, Terrestria). (31. Beitrag zur Isopodenfauna der Balkanhalbinsel)	1961	Ann. Naturhist. Mus. Wien 64:178-184.
1219	Pretner 2011	Die Verdienste von Leo Weirather um die Biospeläologie, insbesondere Jugoslawiens, sein Höhlenkataster und seine Sammelplätze.	2011	Ber. nat.-med. Ver. Innsbruck, 97: 85-234.
1223	Bertolani & Rossi 1983	La zona speleologica del lago Copaide (Beozia, Grecia Centrale)	1983	Le Grotte d’ Italia 11:2–5
1224	Giachino & Lana 2005	Giachino PM, Lana E. 2005. Diaries of a biospeleologist at the beginning of the XX century	2005	Fragm. Entomol. 37:1–264
1226	Ghigi 1929	Risultati generali e conclusioni.	1929	In: A. Ghigi, R. Issel, A. Brian, R. Sanducci, V. Citterio, F. Alzani. Ricerche faunistiche nelle isole Italiane dell΄Egeo. Arch. zool. ital. 13: 423-484.
