Census_ID	Species_ID	Species	Cave_Name	Cave_ID	Reference_Short	Reference_ID
69980	842	Trichoniscus cavernicola Vandel, 1958	Spilaio Megalo Katofygi	110	Vandel 1958|Schmalfuss 1979|Schmalfuss et al. 2004|Beron 2016	163|317|572|706
70051	842	Trichoniscus cavernicola Vandel, 1958	Spilaio Peristera	184	Vandel 1958|Schmalfuss 1979|Schmalfuss et al. 2004	163|317|572
70921	842	Trichoniscus cavernicola Vandel, 1958	Spilaio Milatou	15	Schmalfuss et al. 2004|Beron 2016	572|706
16907	843	Trichoniscus chasmatophilus Strouhal, 1936	Cave "Polu Trypes"	61	Strouhal 1936a|Strouhal 1936b|Schmalfuss 1979|Beron 2016	85|86|317|706
56423	844	Trichoniscus corcyraeus Verhoeff, 1901	Spilaio Megali Grava	4	Beron 2016|Strouhal 1966|Schmalfuss 1979	706|205|317
61872	845	Trichoniscus fragilis Racovitza, 1908	Varathro Poros Stenou Lagkou	419	Beron 2016|Schmalfuss et al. 2004	706|572
61874	845	Trichoniscus fragilis Racovitza, 1908	Spilaio Antiparou	17	Andreev 1986|Beron 2016	417|706
61875	845	Trichoniscus fragilis Racovitza, 1908	Spilaio Kalampaki	18	Andreev 1986|Beron 2016	417|706
61876	845	Trichoniscus fragilis Racovitza, 1908	Spilaio Korykeio Antro	51	Beron 2016|Schmalfuss 1979|Vandel 1958	706|317|163
67886	845	Trichoniscus fragilis Racovitza, 1908	Spilaio Chonos Sarchou	90	Beron 2016|Schmalfuss et al. 2004|Schmalfuss 1979|Schmalfuss 1972b|Vandel 1958	706|572|317|248|163
67981	845	Trichoniscus fragilis Racovitza, 1908	Spilaio Achyrospilios	255	Vandel 1958|Schmalfuss 1972b|Schmalfuss 1979|Schmalfuss et al. 2004|Beron 2016	163|248|317|572|706
51955	846	Trichoniscus intermedius Vandel, 1958	Spilaio Zoure	271	Beron 2016|Schmalfuss 1979|Vandel 1958	706|317|163
64156	847	Trichoniscus lindbergi Vandel, 1958	Spilaio Kourna	169	Schmalfuss et al. 2004|Beron 2016	572|706
64157	847	Trichoniscus lindbergi Vandel, 1958	Varathro Arapi Trypa	423	Beron 2016|Schmalfuss et al. 2004	706|572
