ID	Short	Title	Year	Section
505	Cottarelli & Bruno 1997	First record of Parastenocarididae (Crustacea, Copepoda, Harpacticoida) from subterranean waters of Ethiopia and the description of three new species	1997	Int. J. Speleol., 25 (1/2): 43-57.
506	Casale 1997	Sphordina nuovi o poco noti di Grecia e del vicino oriente (Coleoptera, Carabidae)	1997	Fragm. Entomol., 29 (2): 267-285.
507	Poggi et al. 1998	Coleoptera Pselaphidae	1998	In Juberthie, C.;Decu, V. Encyclopaedia Biospeologica II. Publisher. pp. 1139-1146.
508	Sfenthourakis & Giokas 1998	A bibliographical analysis of Greek Oniscidean endemism	1998	Isr. J. Zool., 44: 273-282.
509	Bosselaers 1998	Nesticus henderickxi n.s. (Araneae, Nesticidae), a new blind trogrobitic spider from Crete	1998	Bull. br. arachnol. Soc., 11 (1): 9-14.
510	Henderickx 1998a	Lasiochernes cretonatus, a new pseudoscorpion species from Crete (Arachnida: Pseudoscorpiones)	1998	Phegea, 26 (4): 123-129.
511	Casale et al. 1998	Coleoptera Carabidae	1998	In Juberthie, C.;Decu, V. Encyclopaedia Biospeologica II. Publisher. pp. 1047-1081.
512	Osella & Zuppa 1998	Coleoptera Curculionoidea	1998	In: Juberthie, C. & Decu, V. Encyclopaedia Biospeologica II. Publisher. pp. 1123-1130.
513	Di Russo & Sbordoni 1998	Orthoptera. A. - Gryllacridoidea	1998	In Juberthie, C.;Decu, V. Encyclopaedia Biospeologica II. Publisher. pp. 979-988.
514	Schwarz et al. 1998	Hydracarina	1998	In Juberthie, C.;Decu, V. Encyclopaedia Biospeologica II. Publisher. pp. 953-976.
515	Condé 1998	Palpigradida	1998	In Juberthie, C.;Decu, V. Encyclopaedia Biospeologica II. Publisher. pp. 913-920.
516	Malicky 1998	Revision der Gattung Mesophylax McL achlan (Trichoptera, Limnephilidae)	1998	Beitr. Ent., 48 (1): 115-144.
517	Giachino et al. 1998	Coleoptera Cholevidae	1998	In Juberthie, C.;Decu, V. Encyclopaedia Biospeologica II. Publisher. pp. 1083-1122.
518	Henderickx 1998b	A new Pseudobankesia species from Crete (Lepidoptera Psychidae)	1998	Phegea, 26 (1): 1-8.
519	Boutin 1998	Thermosbaenacea	1998	In Juberthie, C.;Decu, V. Encyclopaedia Biospeologica II. Publisher. pp. 877-888.
520	Schmalfuss & Erhard 1998	Die Landisopoden (Oniscidea) Griechenlands. 19. Beitrag: Gattung Cordioniscus (Styloniscidae)	1998	Stuttgart. Beitr. Naturk. Ser. A. (Biol.), 582: 1-20.
521	Koenemann & Holsinger 1999	Phylogenetic analysis of the amphipod family Bogidiellidae s. lat., and revision of taxa above the species level	1999	Crustaceana, 72 (8): 781-816.
522	Deltshev 1999	A faunistic and zoogeographical review of the spiders (Araneae) of the Balkan Peninsula	1999	Journal of Arachnology, 27 (1): 255-261.
523	Gueorguiev & Guéorguiev 1999	Notes on the genus Tapinopterus Schaum, 1858 (Coleoptera: Carabidae: Pterostichini) 1. Tapinopterus (Tapinopterus) marani sp. n. - a new polymorphic ground-beetle from the islands of Crete and Naxos	1999	Elytron (Barcelona), 12: 39-48.
524	Perreau 1999	Nouveaux genres et nouvelles espèces de Leptodirini (Coleoptera, Leiodidae)	1999	Bull. Soc. entomol. Fr., 104 (4): 399-406.
525	Stamol et al. 1999	A contribution to knowledge about the distribution of the troglobiontic snail Pholeoteras euthrix Sturany, 1904 (Mollusca, Gastropoda)	1999	Nat. Croat., 8 (4): 407-419.
526	Andreev & Bozarova 2000	Type material of Isopoda (Crustacea: Oniscidea, Anthuridea) from the collections of the National Museum of Natural History in Sofia	2000	Hist. Nat. Bulg., 12: 25-32.
527	Petrov 2000	Expedition of the National museum of Natural History in Northern Greece (15-29.09.2000) (in Bulgarian)	2e3	Hist. Nat. Bulg., 12: 70.
528	Fet 2000	Scorpions (Arachnida, Scorpiones) from the Balkan Peninsula in the collection of the National Museum of Natural History, Sofia	2e3	Hist. Nat. Bulg., 11: 47-60.
