ID	Short	Title	Year	Section
613	Gittenberger 2008	Two problematic, troglophilous gastropods from the Peloponnese, Greece (Gastropoda: Pulmonata: Zonitidae)	2008	Zool. Abh., 82 (28): 275-280.
614	Hlaváč et al. 2008	Catalogue of the troglobitic Pselaphinae (Coleoptera, Staphylinidae) of the Balkan peninsula, with a key to genera	2008	In Pavićević, D.;Perreau, M. Advances in the studies of the subterranean and epigean fauna of the Balkan Peninsula. Volume dedicated to the memory of Guido Nonveiller. Publisher, Belgrade. pp. 307-328.
615	Mahunka 2008	Dissorhina cretensis n. sp. and some other remarkable oribatid mites (Acari: Oribatida) from Crete, Greece	2008	Opusc. Zool. Budapest, 39: 43-51.
616	Benda et al. 2008	Bats (Mammalia: Chiroptera) of the Eastern Mediterranean and Middle East. Part 7. The bat fauna of Crete, Greece	2008	Acta Soc. Zool. Bohemoslov., 72 (3-4): 105-190.
617	Schmalfuss 2008	The terrestrial isopod genus Schizidium (Isopoda: Oniscidea): Systematics, distribution, morphology	2008	Stuttgart. Beitr. Naturk. Ser. A. (Biol.), 1: 143-151.
618	Besuchet 2008	Two new cavernicolous Bythinini from Greece (Coleoptera, Staphylinidae, Pselaphinae)	2008	In Pavićević, Dragan;Perreau, Michel. Advances in the studies of the subterranean and epigean fauna of the Balkan Peninsula. Volume dedicated to the memory of Guido Nonveiller. Publisher, Belgrade. pp. 245-248.
619	Guéorguiev & Lohaj 2008	Studies on genus Speluncarius, with description of a new subgenus and notes on the systematic position of S. (Hypogium) albanicus (Coleoptera: Carabidae: Pterostichini)	2008	In Penev L. Back to the Roots and Back to the Future. Towards a New Synthesys amongst Taxonomic, Ecological and Biogeographical Apporoaches in Carabidology: XIII European Carabidologists Meeting., Blagoevgrad. pp. 125-141.
620	Deltshev 2008b	Faunistic diversity and zoogeography of cave-dwelling spiders on the Balkan Peninsula	2008	In: S. E. Makarov & R. N. Dimitrijević (Eds.) 2008. Advances in Arachnology and Developmental Biology. Papers dedicated to Prof. Dr. Božidar Ćurčić. Institute of Zoology, Belgrade: Bulgarian Academy of Sciences, Sofia; Faculty of Life Sciences, Vienna; SA
621	Wrase 2009	New or interesting records of Carabid beetles from Europe, Madeira, northern Africa, Turkey, from the Near East, Iran, Iraq, Kuwait, and Pakistan, with nomenclatorial and taxonomic notes (Coleoptera, Carabidae, Bembidiini, Brachinini, Cyclosomini, Elaphri	2009	Linzer biol. Beitr., 41(1): 901-935.
622	Papadatou et al. 2009	Sex-specific roost movements and population dynamics of the vulnerable long-fingered bat, Myotis capaccinii	2009	Biological Conservation, 142 (2): 280-289.
623	Martinsen et al. 2009	Phylogeography and mitochondrial DNA divergence in Dolichopoda cave crickets (Orthoptera, Rhahidophoridae)	2009	Hereditas, 146 (2): 33-45.
624	Allegrucci et al. 2009	Testing phylogenetic hypotheses for reconstructing the evolutionary history of Dolichopoda cave crickets in the eastern Mediterranean	2009	Journal of Biogeography, 36 (9): 1785-1797.
625	Karaman 2009	The taxonomical status and diversity of balkan sironids (Opiliones, Cyphophthalmi) with descriptions of twelve new species	2009	Zool. J. Linn. Soc., 156 (2): 260-318.
626	Des Châtelliers et al. 2009	Subterranean aquatic Oligochaeta	2009	Freshwater Biology, 54 (4): 678-690.
627	Obuch & Benda 2009	Food of the Barn Owl (Tyto alba) in the Eastern Mediterranean	2009	Slovac. Rapt. J., 3: 41-50.
628	Lamprinou et al. 2009	Cyanobacteria and associated invertebrates in Leontari Cave, Attica Greece	2009	Fottea, 9 (1): 155-164.
629	Gasparo 2009	La Grotta di Zoodochos Pigi a Santorini (Cicladi, Grecia) e la sua fauna	2009	Progressione, 55 (1/2): 102-105.
630	Hausdorf & Sauer 2009	Revision of the Helicellinae of Crete (Gastropoda: Hygromiidae)	2009	Zool. J. Linn. Soc., 157: 373-419.
631	Casale & Lebenbauer 2010	Notes on the Duvalius species of the Taygetos massif (Peloponnese, Southern Greece), with description of the male features of Duvalius (Duvalius) mirei Deuve, 2001 (Coleoptera, Carabidae)	2010	Fragm. Entomol., 42 (2): 395-404.
632	Stoev et al. 2010	The centipede genus Eupolybothrus Verhoeff, 1907 (Chilopoda: Lithobiomorpha: Lithobiidae) in North Africa, a cybertaxonomic revision, with a key to all species in the genus and the first use of DNA barcoding for the group	2010	ZooKeys, 50 (SPEC. ISSUE): 29-77.
633	Wang & Li 2010	Two new species of the spider genus Cataleptoneta from Balkan Peninsula (Araneae, Leptonetidae)	2010	Zootaxa, 68 (2730): 57-68.
634	Papadatou 2010	Bats (Mammalia: Chiroptera): species diversity, distribution and abundance	2010	In Catsadorakis, G. Källander, H. The Dadia-Lefkimi-Soufli Forest National Park, Greece: Biodiversity, management and conservation. WWF Greece, Athens. pp. 215-226.
635	Mahunka & Mahunka-Papp 2010	New and little known oribatid mites from the Carpathian Basin and the Balkan Peninsula (Acari: Oribatida)	2010	Acta Zool. Acad. Sci. Hung., 56 (3): 211-234.
636	Felesaki et al. 2010	A catalogue of the millipedes of Crete (Myriapoda: Diplopoda)	2010	Natura Montenegrina, 9 (3): 357-368.
637	Dányi 2010	Review of the genus Bilobella Caroli, 1912 in the Balkan Peninsula with description of a new species (Collembola: Neanuridae)	2010	Zootaxa, 2605: 27-44.
638	Le Peru 2011	The Spiders of Europe, a synthesis of data. Vol. 1: Atypidae - Theridiidae	2011	Mém. Soc. Linn., Lyon, 2: 1-522.
639	Gasparo 2011a	Ricerche biospeleologiche a Creta 2008-2010	2011	Progressione, 57 (1/2): 137-143.
641	Giachino & Vailati 2011	Review of the Anillina of Greece (Coleoptera, Carabidae, Bembidiini)	2011	Biodiversity Journal, 1: 1-112.
642	Deltshev 2011	The faunistic diversity of cave-dwelling spiders (Arachnida, Araneae) of Greece	2011	Arachnol. Mitt., 40: 23-32.
643	Petrov & Helversen 2011	Bats (Mammalia: Chiroptera) of the Western Rhodopes Mountain	2011	In Beron, Petar. Biodiversity of Bulgaria. 4. Biodiversity of Western Rhodopes (Bulgaria and Greece) II. Publisher. pp. 525-581.
644	Gasparo 2011b	Una Nuova Harpactea Cavernicola Di Creta (Araneae, Dysderidae)	2011	Atti e memorie della commisione grotte "E. Boegan", 43: 57-65.
645	Tanasevitch 2011	On linyphiid spiders (Araneae) from the Eastern and Central Mediterranean kept at the Museum d'histoire naturelle, Geneva	2011	Rev. suisse Zool., 118 (1): 49-91.
646	Papadatou et al. 2011	Status survey and conservation action plan for the bats of Prespa	2011	Society for the Protection of Prespa (SPP), Agios Germanos. pp. 170.
647	Allegrucci et al. 2011	Tempo and mode of species diversification in Dolichopoda cave crickets (Orthoptera, Rhaphidophoridae)	2011	Molecular Phylogenetics and Evolution, 60 (1): 108-121.
648	Erőss et al. 2011	A new species of Balcanodiscus Riedel & Urbanski, 1964 (Gastriopoda: Pulmonata: Zonitidae) from northeastern Greece	2011	Journal of Conchology, 40 (6): 577-581.
649	Huber 2011	Revision and cladistic analysis of Pholcus and closely related taxa (Araneae, Pholcidae)	2011	Bonn. Zool. Beitr., 58: 1-509.
650	Akkari et al. 2011	Two new cavernicolous genera of Julidae (Diplopoda, Julida), with notes on the tribe Brachyiulini and on julid subanal hooks and anchors	2011	ZooKeys, 114: 1-14.
651	Karaman et al. 2011	The genus Troglophilus Krauss, 1879 (Orthoptera: Rhaphidophoridae) in the west Balkans	2011	Zool. J. Linn. Soc., 163 (4): 1035-1063.
652	Natural & Museum 2011	A New Species of Balcanodiscus Riedel & Urban 1964 (Gastropoda : Pulmonata: Zonitidae) From Northeastern Greece	2011	Journal of Conchology, 40 (6): 577-581.
653	Pretner 2011	Die Verdienste von Leo Weirather um die Biospeläologie, insbesondere Jugoslawiens, sein Höhlenkataster und seine Sammelplätze	2011	Ber. nat.-med. Ver. Innsbruck, 97: 85-234.
655	Bilgin 2012	The conservation genetics of three cave-dwelling bat species in southeastern Europe and Anatolia	2012	Turkish Journal of Zoology, 36 (3): 275-282.
656	Rampini et al. 2012	Four new species of Dolichopoda Bolivar, 1880 from Southern Sporades and Western Turkey (Orthoptera, Rhaphidophoridae, Dolichopodainae)	2012	ZooKeys, 201: 43-58.
657	Soleglad et al. 2012	Etudes on Iurids, V. Further Revision of Iurus Thorell, 1876 (Scorpiones: Iuridae), with a Description of a New Genus and Two New Species	2012	Euscorpius, 143: 1-70.
659	Lazányi et al. 2012	The millipede genus Megaphyllum Verhoeff, 1894 in the Balkan Peninsula, with description of new species (Myriapoda: Diplopoda: Julida: Julidae)	2012	Zootaxa, 47 (3228): 1-47.
660	Lopez-Pancorbo et al. 2013	Nesticus dimensis new species, a new troglobitic spider from Turkey (Araneae, Nesticidae), with comments on its phylogenetic relationships	2013	Zootaxa, 3721 (2): 183-192.
662	Casale et al. 2013	Tre nuove specie di Coleotteri sotterranei di Grecia (Coleoptera: Carabidae e Cholevidae)	2013	Boll. Soc. Entom. It., 145 (1): 9-25.
663	Bolzern et al. 2013	Phylogeny and taxonomy of European funnel-web spiders of the Tegenaria-Malthonica complex (Araneae: Agelenidae) based upon morphological and molecular data	2013	Zool. J. Linn. Soc., 168 (4): 723-848.
664	Andreev 2013	A new cave species, Alpioniscus gueorguievi n. sp. (Isopoda, Oniscidea, Trichoniscidae) from continental Greece	2013	Acta Zool. Bulg., 65 (3): 297-298.
665	Ševčík et al. 2013	Diptera Pupipara from bats of two large eastern Mediterranean islands, Crete and Cyprus	2013	Turkish Journal of Zoology, 37: 31-37.
666	Parmakelis et al. 2013	Hidden diversity of Euscorpius (Scorpiones: Euscorpiidae) in Greece revealed by multilocus species-delimitation approaches	2013	Biol. J. Linnean Soc., 110 (4): 728-748.
667	Golovatch 2013a	Three new species of the millipede genus Hyleoglomeris Verhoeff, 1910 from the Aegean region of Greece (Diplopoda, Glomerida, Glomeridae)	2013	Biodiversity Data Journal, 1 (e1000): 1-13.
668	Golovatch 2013b	A reclassification of the millipede superfamily Trichopolydesmoidea, with descriptions of two new species from the Aegean region (Diplopoda, Polydesmida)	2013	ZooKeys, 340: 63-78.
669	Seiter & Hörweg 2013	The whip spider collection (Arachnida, Amblypygi) held in the Natural History Museum Vienna, Austria	2013	Arachnologische Mitteilungen, 46: 47-53.
670	Schönhofer 2013	A taxonomic catalogue of the Dyspnoi Hansen and Sørensen, 1904 (Arachnida: Opiliones)	2013	Zootaxa, 3679: 1-68.
671	Kaya et al. 2013	Phylogeography of Troglophilus (Orthoptera: Troglophilinae) based on Anatolian members of the genus: Radiation of an old lineage following the Messinian	2013	Biol. J. Linnean Soc., 108: 335-348.
672	Mahunka et al. 2013	Oribatid mites of the Balkan Peninsula (Acari: Oribatida)	2013	Opusc. Zool. Budapest, 44 (1): 11-96.
673	Alexiou & Sfenthourakis 2013	The terrestrial isopods (Isopoda: Oniscidea) of Greece	2013	Parnassiana Archives, 1: 3-50.
674	Schönhofer et al. 2013	Revision of the genus Trogulus Latreille: The morphologically divergent Trogulus torosus species-group of the Balkan Peninsula (Opiliones: Dyspnoi: Trogulidae)	2013	Zool. J. Linn. Soc., 167 (3): 360-388.
676	Alexiou et al. 2013	The family Rhaphidophoridae (Orthoptera) in Greece	2013	Parnassiana Archives, 1: 51-58.
677	Mahnert 2013	Nachträge zur Pseudoskorpionfauna (Arachnida: Pseudoscorpiones) der Höhlen der Insel Santorin (Thera) (Kykladen , Griechenland)	2013	Rev. suisse Zool., 120 (1): 93-100.
678	Bosmans et al. 2013	Spiders of Crete (Araneae). A catalogue of all currently known species from the Greek Island of Crete	2013	Newsletter Belg. Arachn. Soc., 28 (1): 1-147.
679	Mahnert & Gardini 2014	Cave-inhabiting pseudoscorpion species of the genus Roncus (Pseudoscorpiones: Neobisiidae) from western Greece, including the Ionian Islands	2014	Arachnol. Mitt., 48: 28-37.
680	Gasparo 2014	Descrizione di una nuova Harpactea Bristowe, 1939, delle isole cicladi (Araneae, Dysderidae)	2014	Atti e Memorie della Commissione Grotte “E. Boegan”, 44 (2013): 115-123.
681	Alexiou et al. 2014	Biospeleolocal notes on the caves of the Parnassos, Giona and Vardousia of mountains (Central Greece)	2014	Parnassiana Archives, 2: 71-81.
683	Fet et al. 2014	Two new species of Euscorpius from Euboea Island, Greece (Scorpiones: Euscorpiidae)	2014	Arthropoda Selecta, 23 (2): 111-126.
684	Subai & Neubert 2014	Revision of the genus Lindholmiola Hesse , 1931 (Gastropoda: Pulmonata: Helicodontidae)	2014	Contrib. Nat. Hist., 23: 1-94.
685	Di Russo et al. 2014	The cave crickets of Greece: a contribution to the study of Southern Balkan Rhaphidophoridae diversity (Orthoptera), with the description of a new species of Troglophilus Krauss , 1879	2014	Biodiversity Journal, 5 (3): 397-420.
686	Grebennikov 2014	A new concept of Absoloniella (=Ruffodytes syn. n.) for five blind Mediterranean species (Coleoptera: Brachyceridae: Erirhininae)	2014	Zootaxa, 3866 (1): 122-130.
687	Tropea et al. 2014	Three New Species of Euscorpius (Scorpiones: Euscorpiidae) from Greece	2014	Euscorpius (190): 1-22.
688	Alexiou & Kofinas 2015	Closing the gaps: new remote localities of Iurus dufoureius (Scorpiones: Iuridae) from Peloponnisos, Greece	2015	Parnassiana Archives, 3: 19-24.
689	Tropea & Fet 2015	Two new Euscorpius species from central-western Greece (Scorpiones: Euscorpiidae)	2015	Euscorpius, 199: 1-16.
690	Antić et al. 2015	Two new species of the millipede family Blaniulidae (Diplopoda, Julida) from caves in Central and Southeastern Europe	2015	Zootaxa, 3985 (4): 423-540.
691	Falniowski & Sarbu 2015	Two new truncatelloidea species from Melissotrypa cave in Greece (Caenogastropoda)	2015	ZooKeys, 2015 (530): 1-14.
693	Alexiou et al. 2015	The cave crickets of the genus Dolichopoda from Evvia and Skyros islands : formal description of D. octhoniai and D. saraolacosi (Orthoptera : Rhaphidophoridae)	2015	Fragm. Entomol., 47 (2): 133-137.
694	Seiter et al. 2015	A new species of the South East Asian genus Sarax Simon, 1892 (Arachnida: Amblypygi: Charinidae) and synonymization of Sarax mediterraneus Delle Cave, 1986	2015	Zootaxa, 4012 (3): 542-552.
695	Gasparo 2015	Biospeleologia a Creta (2011-2014)	2015	Progressione, 62: 75-77.
696	Szederjesi 2015	New earthworm records from various parts of Greece (Oligochaeta: Lumbricidae, Acanthodrilidae, Megascolecidae, Ocnerodrilidae)	2015	Opusc. Zool. Budapest, 46 (2): 143-152.
697	Christodoulou et al. 2015	Further findings from Daveli Cave (Attica, Greece) enhancing the establishment of the genus Oculatella (Pseudanabaenaceae, Cyanobacteria)	2015	Phytotaxa, 202 (3): 169-184.
698	Karaman 2015	New Data of Genus Niphargus Schiödte, 1849 (Fam. Niphargidae) from Greece (Contribution to the knowledge of the Amphipoda 284)	2015	The Journal "Agriculture and Forestry", 61 (4): 43-60.
699	Ntakis et al. 2015	Phylogeny and biogeography of three new species of Niphargus (Crustacea: Amphipoda) from Greece	2015	Zool. Anz., 255: 32-46.
700	Kovařik & Beron 2015	A checklist of the scorpions (Arachnida , Scorpiones) in the collections of the National Museum of Natural History (Sofia)	2015	Hist. Nat. Bulg., 22: 37-44.
701	Vagalinski et al. 2015	A review of the millipede genus Typhloiulus Latzel, 1884 (Diplopoda: Julida: Julidae), with a description of three new species from Bulgaria and Greece	2015	Zootaxa, 39993 (3): 334-362.
703	Shelley & Golovatch 2015	Nomenclator Generum et Familiarum Diplopodorum III . A list of the Genus- , Family- , and Ordinal-Group names proposed in the Class Diplopoda from 1 January 2000 – 31 December 2014	2015	Arthropoda Selecta, 24 (1): 1-26.
704	Wu et al. 2016	Three new species of the genus Leptonetela from Greece (Araneae, Leptonetidae)	2016	ZooKeys (569): 23-35.
705	Blick & Seiter 2016	Whip spiders (Amblypygi, Arachnida) of the Western Palaearctic - a review	2016	Zootaxa, 4161 (4): 586-592.
706	Beron 2016	Faune cavernicole de la Grèce	2016	Maison d'édition Est-West., Sofia. pp. 229.
707	Christophoryová et al. 2016	A multivariate study of differentiating characters between three European species of the genus Lasiochernes Beier, 1932 (Pseudoscorpiones, Chernetidae)	2016	ZooKeys, 629: 51-81.
708	Naumova et al. 2016	New faunistic data on the cave-dwelling spiders in the Balkan Peninsula (Araneae)	2016	Ecologica Montenegrina, 7: 425-438.
709	Georgiev 2016	Vitrea neglecta Damjanov et L. Pintér 1969 – genital anatomy of a specimen from Greece	2016	ZooNotes, 95 (1/2): 1-2.
710	Szentiványi et al. 2016	Checklist of host associations of European bat flies (Diptera: Nycteribiidae, Streblidae)	2016	Zootaxa, 4205 (2): 101-126.
711	Prevorčnik et al. 2016	The first Turcolana Argano & Pesce, 1980 (Isopoda: Cirolanidae) from the Greek mainland	2016	Zootaxa, 4170 (1): 125-136.
712	Miranda et al. 2016	A new species of Charinus Simon , 1892 ( Arachnida : Amblypygi : Charinidae ) from Israel and new records of C . ioanniticus ( Kritscher , 1959 )	2016	Eur. J. Taxon., 234: 1-17.
714	Karaman 2016	Two New Genera of the Family Niphargidae from Greece (Contribution to the Knowledge of the Amphipoda 287)	2016	The Journal "Agriculture and Forestry", 62 (1): 7-27.
715	Hlaváč & Skuhrovec 2016	Endogean and cavernicolous Coleoptera of the Balkans. XV. A new species of the genus Ioniorhynchus Magrini, Meoli & Abbazzi, 2005 (Coleoptera: Curculionidae: Entiminae) from Greece	2016	Zootaxa, 4092 (1): 129-138.
716	Reischütz et al. 2016	The Clausiliidae subfamily Phaedusinae (Gastropoda, Pulmonata) in the Balkans	2016	Nachrichtenblatt der Ersten Vorarlberger Malakologischen Gesellschaft, 23: 93-117.
717	Trakić et al. 2016	Endemic earthworms (Oligochaeta: Lumbricidae) of the Balkan Peninsula: a review	2016	Zootaxa, 4189 (2): 251-274.
718	Alexiou et al. 2017	The Gryllomorphinae (Gryllidae, Orthoptera) of Greece. A synopsis and new distribution data	2017	Parnassiana Archives, 5: 29-34.
719	Karaman 2017	A new member of the genus Niphargus Schiödte, 1849 (Amphioda Gammaridea, fam. Niphargidae) from Crete Island, Greece (Contribution to the knowledge of the Amphipoda 293)	2017	Ecologica Montenegrina, 10: 1-10.
720	Pavlek & Ribera 2017	Kryptonesticus deelemanae gen. et sp. nov. (Araneae, Nesticidae), with notes on the Mediterranean cave species	2017	European Journal of Taxonomy, 262: 1-27.
721	Di Russo et al. 2017	A new species of Dolichopoda (Orthoptera: Rhaphidophoridae; Dolichopodainae) from Western Greece	2017	Zootaxa, 4290 (2): 380-384.
722	Du Preez 2017	Nematodes in caves: a historical perspective on their occurrence, distribution and ecological relevance	2017	Nematology, 00: 1-18.
723	Allegrucci et al. 2017	Molecular phylogeography of Troglophilus cave crickets (Orthoptera, Rhaphidophoridae): A combination of vicariance and dispersal drove diversification in the East Mediterranean region	2017	J. Zool. Syst. Evol. Res.: 1-16.
724	Szederjesi et al. 2017	An annotated checklist of earthworms of Greece (Clitellata: Megadrili)	2017	Zootaxa, 4272 (1): 57-82.
1165	Thaler & Knoflach 1998	Two new species and new records of the genus Amaurobius (Araneae, Amaurobiidae) from Greece.	1998	Pages 107–114 in P. A. Selden, editor. Proceedings of the 17th European Colloquium of Arachnology, Edinburgh 1997. Edinburgh.
1166	Stoev et al. 2008	An annotated world catalogue of the millipede order Callipodida (Arthropoda: Diplopoda).	2008	Zootaxa, 1706:1–50.
1167	Sciaky 1992	Note su Carabidae cavernicoli ed endogei di Grecia, con descrizione di Duvalius casalei n. sp. (Carabidae, Coleoptera).	1992	Boll. Mus. Reg. Sci. Nat. Torino, 10:295–305.
1168	Morrone & Hlaváč 2017	Checklist of the micro- and anophthalmic soil-dwelling weevils of the world (Coleoptera: Curculionidae).	2017	Zootaxa, 4239:1–102.
1169	Langourov 2001	Scuttle flies (Diptera: Phoridae) from caves in the Balkan Peninsula (Diptera: Phoridae).	2001	Acta Zoologica Bulgarica, 53:33–40.
1170	Karaman 1979	The problem of Salentinella angelieri Del.-Deb. and Ruffo 1952 and its subspecies. (Contribution to the Knowledge of the Amphipoda 109).	1979	Poljoprivreda I Sumarstvo, 25:25-44.
1171	Beshkov & Wegner 2004	Macrolepidoptera of the Greek part of the Eastern Rhodopes.	2004	Pages 677–722 in P. Beron and Pop, editors.Biodiversity of Bulgaria 2. Biodiversity of eastern Rhodopes (Bulgaria and Greece). Pensoft & Nat. Mus. Natur. Hist., Sofia.
1172	Rundschau 2015	On the Staphylinidae of the Greek island Samos (Coleoptera : Staphylinidae).	2015	Koleopterologische Rundschau, 85:81-102.
1173	Alexiou 2017	New distribution records of Orthoptera of Greece.	2017	Journal of Orthoptera Research 26:53-61.
1174	Casale et al. 2017	The genus Duvalius in Mount Pílio (Thessalia, Greece), with descriptions of two new species (Coleoptera Carabidae Trechinae).	2017	Boll. Soc. Entom. It. 149:119-130.
1175	Papamichael et al. 2014	Deliverable 7, C – Phase of Study 7: "Monitoring and evaluation of conservation status mammal species of Community interest in Greece."	2014	Ministry of Environment, Energy and Climatic Change, Athens, scholars Partnership and consultancy firms “ARAPIS THOMAS EYAGGELOY, GEOANALYSI S.A. and PAPACHARISIALEXANDRA THEODORA ", Athens. pp. 59 (in Greek)
1176	Paragamian 1993	Environmental study on the arrangement and management of the Maara cave, Kokkinogia, Drama. Final report.	1993	Democritus University of Xanthi, Greece, 45 p. (in Greek).
1177	Paragamian 2002	Environmental study of the caves Zervati and Agkalaki, Speleological Park of Sami Area, Kefalonia Prefecture.	2002	Municipality of Sami, Hellenic Speleological Society-Department of Crete, Hellenic Institute of Speleological Research, 30p. (in Greek).
1178	Paragamian et al. 2004	Biological and Environmental Study of the Cave of Maroneia: Analysis of current status - Proposals. Final Report.	2004	Hellenic Institute of Speleological Research, Irakleion, Greece, 176 pp.
1197	Bolzern 2010	Taxonomy and phylogeny of the Tegenaria- Malthonica -complex (Araneae,  Agelenidae), using morphological and molecular data.	2010	PHD Thesis. Faculty of Science, University of Basel, Switzerland, 292pp
1198	Singer 1971	<i>Neotrombidium</i> Leonardi (Acarina: Trombidioidea). Part I: Revision of the genus with description of two new species.	1971	Acarologia, 13: 119–142.
1199	Bartsch 2011	The freshwater halacarid mite <i>Soldanellonyx chappuisi</i> Walter, 1917 (Acari: Halacaridae), character development from larva to adult and comparison with other halacarids.	2011	Entomologische Mitteilungen aus dem zoologischen Museum Hamburg, 15(184): 223-235.
1200	Verhoeff 1943	Über Chilopoden aus westbalkanischen Höhlen.	1943	Zeitschrift für Karst- und Höhlenkunde , 43: 133-152.
1201	Stoev 1997	A check-list of the centipedes of the Balkan peninsula with some taxonomic notes and a complete bibliography (Chilopoda).	1997	Entomologica scandinavica, Copenhagen, Supplement, 51: 87-105.
1202	Stoev & Beron 2000	On the type specimens of Myriapoda (Chilopoda, Diplopoda) in the collection of the National Museum of Natural History in Sofia.	2000	Arthropoda Selecta 9:91–102.
1204	Stavropoulos & Matic 1990	Nouvelles contributions à l'étude de la faune de chilopodes. (Chilopoda) de Grèce. II.	1990	Biol. gallo-hellen., 17: 37-47.
1205	Matic & Stavropoulos 1993	Considerations zoogeographiques sur la faune des Chilopodes des îles de la Mer Egée et de la Mer Ionienne.	1993	. Biol. gallo-hellen., 20: 99-106
1206	Brunner von Wattenwyl 1888	Monographie der Stenopelmatiden und Gryllacriden.	1888	Verhandlungen der Kaiserlich-Königlichen Zoologisch-Botanischen Gesellschaft, 38: 298–299.
1207	Chopard 1932	Chopard, L. 1932. Les orthoptéres cavernicoles de la faune paléarctique.	1932	Arch. Zool. exp. gen. 74:263–286.
1208	Beron et al. 2011	The invertebrate cave fauna of the Western Rhodopes (Bulgaria and Greece)	2011	Pages 583-662 in Beron P. (ed.) Biodiversity of Bulgaria. 4. Biodiversity of Western Rhodopes (Bulgaria and Greece) II. Pensoft & Nat. Mus. Natur. Hist. Sofia,
1209	Moritz & Fischer 1974	Die Typen der Myriapoden-Sammlung des zoologischen Museums Berlin. I. Diplopoda. Teil 2: Craspedosomatida (Chordeumatidae, Anthroleucosomatidae, Anthogonidae, Entomobielziidae, Rothenbühleriidae, Brachychaeteumatidae, Haplobainosomatidae, Attemsiidae, Cra	1974	Mitt. Zool. Mus. Berlin 50(2): 323- 375
1210	Hlaváč et al. 2017	The Subterranean Beetles of the Balkan Peninsula: Carabidae, Leiodidae, Staphylinidae, Scarabaeidae, Bothrideridae, Zopheridae, Salpingidae, Brachyceridae, Curculionidae.	2017	Czech University of Life Sciences Prague, Faculty of Forestry and Wood Sciences, Praha, Chez Republic. 267 pp.
1211	Lienhard 1988b	Vorarbeiten zu einer Psocopteren-Fauna der Westpaläarktis : IV. die Gattung Prionoglaris Enderlein (Psocoptera : Prionoglarididae)	1988	Mitt. Schweiz. Entom. Ges. 61: 89-108
1212	Lienhard 1998	Psocoptères Euro-Méditerranéens.	1998	Faune de France 83. Fédération Française des Sociétés de Sciences, Naturelles , xx + 517 pp.
1213	Lienhard & Smithers 2002	Psocoptera (Insecta) World Catalogue and Bibliography.	2002	Instrumenta Biodiversitatis V. Museum d’histoire naturelle, Genève, Switzerland, pp.xli + 745 pp.
1214	Badonnel  1943	Psocoptères cavernicoles de Macédoine et Herzégovine (Voyages de P. Remy R. Husson et A. Schweitzer).	1943	Bull. Soc. Ent. France, 48: 8-9
1215	Zoia & Rampini 1991	Ridescrizione di <i>Albaniola thessalica</i> (Reitter, 1887) con note sulla sua posizione sistematica (Coleoptera, Cholevidae). Fragm. Entomol., Roma, 23(1): 93-100.	1991	Fragm. Entomol., Roma, 23(1): 93-100
1216	Caladra 2011	Erirhinidae.	2011	In: Löbl, I. & Smetana, A. (Eds.), Catalogue of Palaearctic Coleoptera. Vol. 7. Curculionoidea I. Apollo Books, Stenstrup, pp. 192–198.
1217	Osella & Pogliano Osella 1986	Nuovi curculionidi endogei del Mediterraneo occidentale (Coleoptera).	1986	Boll. Mus. civ. St. nat. Verona, 11: 53–68.
1218	Osella et al. 1993	I Cossoninae d'Anatolia e regioni viciniori (Coleoptera, Curculionidae)	1993	Fragm. Entomol., 24: 243–305.
1220	Assing 2017	On the Staphylinidae of the Greek island Ikaría, with supplementary notes on the fauna of Samos (Coleoptera: Staphylinidae)	2017	Koleopterologische Rundschau
1221	Zicsi & Michalis 1981	Übersicht der Regenwurm-fauna Griechenlands (Oligochaeta: Lumbricidae)	1981	Acta Zool. Hung., 27: 239–264
1222	Černosvitov 1939	Etudes biospéologiques. X. Catalogue des Oligochètes hypogés.	1939	Mus. Roy. Hist, nat. de Belgique 15(22): 1-92
1225	Schmalfuss 1999	Terrestrial isopod records from Greek islands	1999	Newsletter of the Hellenic zoological Society
1227	Paragamian 2004a	The cave fauna of Greece. Volume I: Caves and the cited terrestrial cavernicolous animals.	2004	Irakleion, Greece. Unpublished report (in Greek). 174pp.
1228	Paragamian 2004b	The cave fauna of Greece. Volume II: Cavernicolous animal species and their distribution.	2004	Irakleion, Greece. Unpublished report (in Greek). 101pp.
1229	Strand 1917	Arachnologica varia. XIX-XX.	1917	Archiv für Naturg. 82(A.2): 158-167
1230	Assing 2015	On the Staphylinidae of the Greek island Samos (Coleoptera: Staphylinidae).	2015	Koleopterologische Rundschau 85:81–102.
1231	Paragamian & Legakis 2017	Bibliography of the Terrestrial Cave Fauna of Greece.	2017	Hellenic Zoological Archives 8:1–43.
1232	Schmalfuss 2005b	The terrestrial isopods (Isopoda: Oniscidea) of Greece. 22nd contribution: Genus Monocyphoniscus (Trichoniscidae).	2005	Stuttgart. Beitr. Naturk. Ser. A. (Biol.) 685:1–12
1233	Huber 2012	An annotated list of the pholcid spiders (Araneae: Pholcidae) deposited at the Muséum national d’Histoire naturelle, Paris.	2012	Version 2, 25pp, http://www.pholcidae.de/PDFs/Paris_collection_2012.pdf , accessed on 18.2.2018
1234	Bank & Menkhorst 1992	Notizen zur Familie Enidae, 4. Revision der griechischen Arten der Gattungen Ena, Zebrina, Napaeopsis und Turanena (Gastropoda Pulmonata: Pupilloidea)	1992	Basteria, 56:105–158.
